"","gene","human.homolog","ciona.name"
"8759","KY21:KY21.Chr2.994","ZNF567","Ci-ZF304"
"8760","KY21:KY21.Chr2.995","ZNF782","Ci-ZF234"
"8761","KY21:KY21.Chr2.996","GSX2","Gsx"
"8762","KY21:KY21.Chr2.997","CEP135",""
"8763","KY21:KY21.Chr2.998","GUSB",""
"8764","KY21:KY21.Chr2.999","SPCS3",""
"8765","KY21:KY21.Chr3.1","USP13",""
"8766","KY21:KY21.Chr3.10","IKZF5","Ci-ZF131"
"8767","KY21:KY21.Chr3.100","MS4A3",""
"8768","KY21:KY21.Chr3.1000","SETD5",""
"8769","KY21:KY21.Chr3.1001","PTCD2",""
"8770","KY21:KY21.Chr3.1002","TCIRG1",""
"8771","KY21:KY21.Chr3.1003","PER2",""
"8772","KY21:KY21.Chr3.1004","KY21:KY21.Chr3.1004",""
"8773","KY21:KY21.Chr3.1005","JAG1",""
"8774","KY21:KY21.Chr3.1006","ANO3",""
"8775","KY21:KY21.Chr3.1007","BICRAL",""
"8776","KY21:KY21.Chr3.1008","SLC22A20P",""
"8777","KY21:KY21.Chr3.1009","TRIM36","Ci-ZF171"
"8778","KY21:KY21.Chr3.101","MS4A3",""
"8779","KY21:KY21.Chr3.1010","TNFAIP6",""
"8780","KY21:KY21.Chr3.1011","UQCRFS1",""
"8781","KY21:KY21.Chr3.1012","ZC3H18",""
"8782","KY21:KY21.Chr3.1013","NAA35",""
"8783","KY21:KY21.Chr3.1014","KLF18",""
"8784","KY21:KY21.Chr3.1015","TPP2",""
"8785","KY21:KY21.Chr3.1016","PVALEF",""
"8786","KY21:KY21.Chr3.1017","MFSD10",""
"8787","KY21:KY21.Chr3.1018","BLOC1S6",""
"8788","KY21:KY21.Chr3.1019","SSB",""
"8789","KY21:KY21.Chr3.102","ACAP2",""
"8790","KY21:KY21.Chr3.1020","ARHGAP17",""
"8791","KY21:KY21.Chr3.1021","TLL1",""
"8792","KY21:KY21.Chr3.1022","CUBN",""
"8793","KY21:KY21.Chr3.1023","CSMD3",""
"8794","KY21:KY21.Chr3.1024","SZT2",""
"8795","KY21:KY21.Chr3.1025","GPA33",""
"8796","KY21:KY21.Chr3.1026","CIAPIN1",""
"8797","KY21:KY21.Chr3.1027","WDR54",""
"8798","KY21:KY21.Chr3.1028","RIPK2",""
"8799","KY21:KY21.Chr3.1029","CERS3",""
"8800","KY21:KY21.Chr3.103","MLST8",""
"8801","KY21:KY21.Chr3.1030","CRCP",""
"8802","KY21:KY21.Chr3.1031","FBXO41",""
"8803","KY21:KY21.Chr3.1032","SNX33",""
"8804","KY21:KY21.Chr3.1033","LARS2",""
"8805","KY21:KY21.Chr3.1034","NXPE3",""
"8806","KY21:KY21.Chr3.1035","PEX11G",""
"8807","KY21:KY21.Chr3.1036","ANO10",""
"8808","KY21:KY21.Chr3.1037","CASP8",""
"8809","KY21:KY21.Chr3.1038","DHX38",""
"8810","KY21:KY21.Chr3.1039","TSHZ1","Ci-ZF145"
"8811","KY21:KY21.Chr3.104","MT-ND5",""
"8812","KY21:KY21.Chr3.1040","RGS11",""
"8813","KY21:KY21.Chr3.1041","SEZ6L",""
"8814","KY21:KY21.Chr3.1042","LRRC63",""
"8815","KY21:KY21.Chr3.1043","EMILIN3",""
"8816","KY21:KY21.Chr3.1044","EIF3B",""
"8817","KY21:KY21.Chr3.1045","PMS2P1",""
"8818","KY21:KY21.Chr3.1046","ABCF2",""
"8819","KY21:KY21.Chr3.1047","CALCR",""
"8820","KY21:KY21.Chr3.1048","PMS1",""
"8821","KY21:KY21.Chr3.1049","NEK11",""
"8822","KY21:KY21.Chr3.105","ARF3",""
"8823","KY21:KY21.Chr3.1050","GNRHR",""
"8824","KY21:KY21.Chr3.1051","PIWIL3",""
"8825","KY21:KY21.Chr3.1052","THAP9",""
"8826","KY21:KY21.Chr3.1053","RNFT1",""
"8827","KY21:KY21.Chr3.1054","GNRHR",""
"8828","KY21:KY21.Chr3.1055","RYR1",""
"8829","KY21:KY21.Chr3.1056","FRYL",""
"8830","KY21:KY21.Chr3.1057","GNRHR",""
"8831","KY21:KY21.Chr3.1058","ELL2",""
"8832","KY21:KY21.Chr3.1059","KATNIP",""
"8833","KY21:KY21.Chr3.106","SYT17",""
"8834","KY21:KY21.Chr3.1060","VAC14",""
"8835","KY21:KY21.Chr3.1061","ARMCX1",""
"8836","KY21:KY21.Chr3.1062","UGGT2",""
"8837","KY21:KY21.Chr3.1063","SLC25A19",""
"8838","KY21:KY21.Chr3.1064","TEX11",""
"8839","KY21:KY21.Chr3.1065","LTBP1",""
"8840","KY21:KY21.Chr3.1066","SSRP1","Ssrp1"
"8841","KY21:KY21.Chr3.1067","RTL1",""
"8842","KY21:KY21.Chr3.1068","SVEP1",""
"8843","KY21:KY21.Chr3.1069","TAF1L",""
"8844","KY21:KY21.Chr3.107","TNR",""
"8845","KY21:KY21.Chr3.1070","B4GALT2",""
"8846","KY21:KY21.Chr3.1071","WDR90",""
"8847","KY21:KY21.Chr3.1072","SYNGR1",""
"8848","KY21:KY21.Chr3.1073","ZGRF1",""
"8849","KY21:KY21.Chr3.1074","CACNA1C",""
"8850","KY21:KY21.Chr3.1075","PKD1",""
"8851","KY21:KY21.Chr3.1076","MRPL11",""
"8852","KY21:KY21.Chr3.1077","MRPL36",""
"8853","KY21:KY21.Chr3.1078","ZNF629","Ci-ZF227"
"8854","KY21:KY21.Chr3.1079","NUDT9",""
"8855","KY21:KY21.Chr3.108","SELP / COL12A1",""
"8856","KY21:KY21.Chr3.1080","MMS19",""
"8857","KY21:KY21.Chr3.1081","RHPN2",""
"8858","KY21:KY21.Chr3.1082","TPM1","Tpm.b"
"8859","KY21:KY21.Chr3.1083","XYLT2",""
"8860","KY21:KY21.Chr3.1084","COQ3",""
"8861","KY21:KY21.Chr3.1085","COQ3",""
"8862","KY21:KY21.Chr3.1086","EDA2R",""
"8863","KY21:KY21.Chr3.1087","THAP8",""
"8864","KY21:KY21.Chr3.1088","YTHDC1",""
"8865","KY21:KY21.Chr3.1089","JPH3",""
"8866","KY21:KY21.Chr3.109","SLC28A3",""
"8867","KY21:KY21.Chr3.1090","DAAM2",""
"8868","KY21:KY21.Chr3.1091","CLCC1",""
"8869","KY21:KY21.Chr3.1092","SLC26A10",""
"8870","KY21:KY21.Chr3.1093","PLCG1",""
"8871","KY21:KY21.Chr3.1094","NDE1",""
"8872","KY21:KY21.Chr3.1095","MMD",""
"8873","KY21:KY21.Chr3.1096","PSMG3 / BOLA1",""
"8874","KY21:KY21.Chr3.1097","OPA3",""
"8875","KY21:KY21.Chr3.1098","CCDC61",""
"8876","KY21:KY21.Chr3.1099","FBXO11",""
"8877","KY21:KY21.Chr3.11","MYH6","Myh.g"
"8878","KY21:KY21.Chr3.110","BOD1L1",""
"8879","KY21:KY21.Chr3.1100","LIPE",""
"8880","KY21:KY21.Chr3.1101","BAG1",""
"8881","KY21:KY21.Chr3.1102","DHRS4",""
"8882","KY21:KY21.Chr3.1103","MSH6",""
"8883","KY21:KY21.Chr3.1104","TPM1","Tpm.c"
"8884","KY21:KY21.Chr3.1105","RTL1",""
"8885","KY21:KY21.Chr3.1106","CCDC191",""
"8886","KY21:KY21.Chr3.1107","IFT81",""
"8887","KY21:KY21.Chr3.1108","SOCS7","SOCS7"
"8888","KY21:KY21.Chr3.1109","DSEL",""
"8889","KY21:KY21.Chr3.111","FLT3",""
"8890","KY21:KY21.Chr3.1110","CEP43",""
"8891","KY21:KY21.Chr3.1111","ERO1B",""
"8892","KY21:KY21.Chr3.1112","PGAP3",""
"8893","KY21:KY21.Chr3.1113","CCS",""
"8894","KY21:KY21.Chr3.1114","EIF2S3",""
"8895","KY21:KY21.Chr3.1115","SH3BP5",""
"8896","KY21:KY21.Chr3.1116","WIPI2",""
"8897","KY21:KY21.Chr3.1117","PRORP",""
"8898","KY21:KY21.Chr3.1118","SLC16A12",""
"8899","KY21:KY21.Chr3.1119","RBBP8",""
"8900","KY21:KY21.Chr3.112","MYLIP",""
"8901","KY21:KY21.Chr3.1120","MRPL27",""
"8902","KY21:KY21.Chr3.1121","USP7",""
"8903","KY21:KY21.Chr3.1122","SRCAP",""
"8904","KY21:KY21.Chr3.1123","SLC6A1",""
"8905","KY21:KY21.Chr3.1124","CYP11B1",""
"8906","KY21:KY21.Chr3.1125","SETD3",""
"8907","KY21:KY21.Chr3.1126","VPS51",""
"8908","KY21:KY21.Chr3.1127","TNC",""
"8909","KY21:KY21.Chr3.1128","KY21:KY21.Chr3.1128",""
"8910","KY21:KY21.Chr3.1129","NKD2",""
"8911","KY21:KY21.Chr3.113","GAS8",""
"8912","KY21:KY21.Chr3.1130","ATP23",""
"8913","KY21:KY21.Chr3.1131","SIX4","Six4/5"
"8914","KY21:KY21.Chr3.1132","MC4R",""
"8915","KY21:KY21.Chr3.1133","USP40 / PPP3CB",""
"8916","KY21:KY21.Chr3.1134","AGTPBP1",""
"8917","KY21:KY21.Chr3.1135","OR10H2",""
"8918","KY21:KY21.Chr3.1136","COIL",""
"8919","KY21:KY21.Chr3.1137","EPHX1",""
"8920","KY21:KY21.Chr3.1138","DNAH1 / TMEM243",""
"8921","KY21:KY21.Chr3.1139","SLIT1",""
"8922","KY21:KY21.Chr3.114","ABCB1",""
"8923","KY21:KY21.Chr3.1140","THBS3",""
"8924","KY21:KY21.Chr3.1141","MGAM",""
"8925","KY21:KY21.Chr3.1142","MGAM",""
"8926","KY21:KY21.Chr3.1143","FNDC3A",""
"8927","KY21:KY21.Chr3.1144","DPEP1",""
"8928","KY21:KY21.Chr3.1145","FBXL17",""
"8929","KY21:KY21.Chr3.1146","ZNF639",""
"8930","KY21:KY21.Chr3.1147","ELAVL4",""
"8931","KY21:KY21.Chr3.1148","IPPK",""
"8932","KY21:KY21.Chr3.1149","ZBTB17",""
"8933","KY21:KY21.Chr3.115","ABCB1",""
"8934","KY21:KY21.Chr3.1150","ATP5F1EP2",""
"8935","KY21:KY21.Chr3.1151","SART1",""
"8936","KY21:KY21.Chr3.1152","HGD",""
"8937","KY21:KY21.Chr3.1153","MFSD6L",""
"8938","KY21:KY21.Chr3.1154","TACC2",""
"8939","KY21:KY21.Chr3.1155","JMJD6",""
"8940","KY21:KY21.Chr3.1156","JMJD6",""
"8941","KY21:KY21.Chr3.1157","JMJD6",""
"8942","KY21:KY21.Chr3.1158","JMJD6",""
"8943","KY21:KY21.Chr3.1159","PCDHB14",""
"8944","KY21:KY21.Chr3.116","CTSA",""
"8945","KY21:KY21.Chr3.1160","JMJD6",""
"8946","KY21:KY21.Chr3.1161","JMJD6",""
"8947","KY21:KY21.Chr3.1162","JMJD6",""
"8948","KY21:KY21.Chr3.1163","SLC7A11",""
"8949","KY21:KY21.Chr3.1164","MYO10",""
"8950","KY21:KY21.Chr3.1165","VAPB",""
"8951","KY21:KY21.Chr3.1166","HELZ",""
"8952","KY21:KY21.Chr3.1167","PPP1R16B",""
"8953","KY21:KY21.Chr3.1168","EEF1B2",""
"8954","KY21:KY21.Chr3.1169","KIF28P",""
"8955","KY21:KY21.Chr3.117","GCAT",""
"8956","KY21:KY21.Chr3.1170","UTRN",""
"8957","KY21:KY21.Chr3.1171","PPP1R3B",""
"8958","KY21:KY21.Chr3.1172","SLC17A8",""
"8959","KY21:KY21.Chr3.1173","PNPT1",""
"8960","KY21:KY21.Chr3.1174","FKBP3",""
"8961","KY21:KY21.Chr3.1175","MOSMO",""
"8962","KY21:KY21.Chr3.1176","SUGCT",""
"8963","KY21:KY21.Chr3.1177","THEGL",""
"8964","KY21:KY21.Chr3.1178","PEX3",""
"8965","KY21:KY21.Chr3.1179","CCDC102A",""
"8966","KY21:KY21.Chr3.118","ZFAND5",""
"8967","KY21:KY21.Chr3.1180","IDUA",""
"8968","KY21:KY21.Chr3.1181","UBP1",""
"8969","KY21:KY21.Chr3.1182","SLC9A3",""
"8970","KY21:KY21.Chr3.1183","RPGRIP1L",""
"8971","KY21:KY21.Chr3.1184","PI16",""
"8972","KY21:KY21.Chr3.1185","SLC2A1",""
"8973","KY21:KY21.Chr3.1186","C6",""
"8974","KY21:KY21.Chr3.1187","C6",""
"8975","KY21:KY21.Chr3.1188","UBA2",""
"8976","KY21:KY21.Chr3.1189","C6",""
"8977","KY21:KY21.Chr3.119","RGPD6",""
"8978","KY21:KY21.Chr3.1190","ALDH3B1",""
"8979","KY21:KY21.Chr3.1191","ACTG1",""
"8980","KY21:KY21.Chr3.1192","SOCS6","SOCS6"
"8981","KY21:KY21.Chr3.1193","LLGL1",""
"8982","KY21:KY21.Chr3.1194","ANKRD10",""
"8983","KY21:KY21.Chr3.1195","PRR7",""
"8984","KY21:KY21.Chr3.1196","TTC26",""
"8985","KY21:KY21.Chr3.1197","C19orf12",""
"8986","KY21:KY21.Chr3.1198","SMAD7","Smad6/7"
"8987","KY21:KY21.Chr3.1199","DSEL",""
"8988","KY21:KY21.Chr3.12","MYH7","Myh.h"
"8989","KY21:KY21.Chr3.120","WDR38",""
"8990","KY21:KY21.Chr3.1200","HEBP2",""
"8991","KY21:KY21.Chr3.1201","TSR3",""
"8992","KY21:KY21.Chr3.1202","SAYSD1",""
"8993","KY21:KY21.Chr3.1203","GPAA1",""
"8994","KY21:KY21.Chr3.1204","HYPK",""
"8995","KY21:KY21.Chr3.1205","TPX2",""
"8996","KY21:KY21.Chr3.1206","IQGAP2 / SMC1A / DHX40",""
"8997","KY21:KY21.Chr3.1207","NT5C2",""
"8998","KY21:KY21.Chr3.1208","TMX3",""
"8999","KY21:KY21.Chr3.1209","PEX6",""
"9000","KY21:KY21.Chr3.121","XRCC4",""
"9001","KY21:KY21.Chr3.1210","MED19",""
"9002","KY21:KY21.Chr3.1211","PSMB5",""
"9003","KY21:KY21.Chr3.1212","ADGRG4",""
"9004","KY21:KY21.Chr3.1213","JMJD7",""
"9005","KY21:KY21.Chr3.1214","WDTC1",""
"9006","KY21:KY21.Chr3.1215","GLS2",""
"9007","KY21:KY21.Chr3.1216","STUB1",""
"9008","KY21:KY21.Chr3.1217","METTL9",""
"9009","KY21:KY21.Chr3.1218","INPP5F",""
"9010","KY21:KY21.Chr3.1219","DNAH8",""
"9011","KY21:KY21.Chr3.122","UBXN6",""
"9012","KY21:KY21.Chr3.1220","PRUNE2",""
"9013","KY21:KY21.Chr3.1221","RPS27",""
"9014","KY21:KY21.Chr3.1222","NCBP1",""
"9015","KY21:KY21.Chr3.1223","REXO2",""
"9016","KY21:KY21.Chr3.1224","RSPRY1",""
"9017","KY21:KY21.Chr3.1225","DNAJA1",""
"9018","KY21:KY21.Chr3.1226","RAB2A",""
"9019","KY21:KY21.Chr3.1227","C14orf119",""
"9020","KY21:KY21.Chr3.1228","RUSC1",""
"9021","KY21:KY21.Chr3.1229","CTDP1",""
"9022","KY21:KY21.Chr3.123","RSL1D1",""
"9023","KY21:KY21.Chr3.1230","RBM14",""
"9024","KY21:KY21.Chr3.1231","KY21:KY21.Chr3.1231",""
"9025","KY21:KY21.Chr3.1232","TNR",""
"9026","KY21:KY21.Chr3.1233","PIH1D1",""
"9027","KY21:KY21.Chr3.1234","UBE2C",""
"9028","KY21:KY21.Chr3.1235","PABPN1",""
"9029","KY21:KY21.Chr3.1236","FAM47A",""
"9030","KY21:KY21.Chr3.1237","INO80",""
"9031","KY21:KY21.Chr3.1238","TCEANC",""
"9032","KY21:KY21.Chr3.1239","FER",""
"9033","KY21:KY21.Chr3.124","SERHL2",""
"9034","KY21:KY21.Chr3.1240","CDCP2",""
"9035","KY21:KY21.Chr3.1241","MYLK3",""
"9036","KY21:KY21.Chr3.1242","MYNN",""
"9037","KY21:KY21.Chr3.1243","CEP72",""
"9038","KY21:KY21.Chr3.1244","ACO2",""
"9039","KY21:KY21.Chr3.1245","TELO2",""
"9040","KY21:KY21.Chr3.1246","CSF1R / RIPK3",""
"9041","KY21:KY21.Chr3.1247","CTNNA1",""
"9042","KY21:KY21.Chr3.1248","RGPD3",""
"9043","KY21:KY21.Chr3.1249","TSSK2",""
"9044","KY21:KY21.Chr3.125","SERHL2",""
"9045","KY21:KY21.Chr3.1250","THADA",""
"9046","KY21:KY21.Chr3.1251","MLXIP",""
"9047","KY21:KY21.Chr3.1252","PTGES3L-AARSD1",""
"9048","KY21:KY21.Chr3.1253","SPTB",""
"9049","KY21:KY21.Chr3.1254","SPTBN1",""
"9050","KY21:KY21.Chr3.1255","BCL2A1",""
"9051","KY21:KY21.Chr3.1256","CNTFR",""
"9052","KY21:KY21.Chr3.1257","WDR35",""
"9053","KY21:KY21.Chr3.1258","SLIT1",""
"9054","KY21:KY21.Chr3.1259","TMEM14B",""
"9055","KY21:KY21.Chr3.126","CYP2E1",""
"9056","KY21:KY21.Chr3.1260","ITIH3",""
"9057","KY21:KY21.Chr3.1261","ATP13A1 / CD177",""
"9058","KY21:KY21.Chr3.1262","PLSCR1",""
"9059","KY21:KY21.Chr3.1263","PLSCR1",""
"9060","KY21:KY21.Chr3.1264","KLHL24",""
"9061","KY21:KY21.Chr3.1265","PLSCR1",""
"9062","KY21:KY21.Chr3.1266","MPO",""
"9063","KY21:KY21.Chr3.1267","PXDN",""
"9064","KY21:KY21.Chr3.1268","PXDN",""
"9065","KY21:KY21.Chr3.1269","ACLY",""
"9066","KY21:KY21.Chr3.127","DUSP22",""
"9067","KY21:KY21.Chr3.1270","DAD1",""
"9068","KY21:KY21.Chr3.1271","VIM",""
"9069","KY21:KY21.Chr3.1272","SYP",""
"9070","KY21:KY21.Chr3.1273","SCPEP1",""
"9071","KY21:KY21.Chr3.1274","SLC35G1",""
"9072","KY21:KY21.Chr3.1275","GARS1",""
"9073","KY21:KY21.Chr3.1276","RECQL4",""
"9074","KY21:KY21.Chr3.1277","DYNLT2B",""
"9075","KY21:KY21.Chr3.1278","HAGH",""
"9076","KY21:KY21.Chr3.1279","TEX10",""
"9077","KY21:KY21.Chr3.128","ASNSD1",""
"9078","KY21:KY21.Chr3.1280","CYCS",""
"9079","KY21:KY21.Chr3.1281","CYCS",""
"9080","KY21:KY21.Chr3.1282","MAGI2",""
"9081","KY21:KY21.Chr3.1283","MGA",""
"9082","KY21:KY21.Chr3.1284","ITSN2",""
"9083","KY21:KY21.Chr3.1285","TMEM64",""
"9084","KY21:KY21.Chr3.1286","PDE9A",""
"9085","KY21:KY21.Chr3.1287","BHLHA15","Bhlha15"
"9086","KY21:KY21.Chr3.1288","KY21:KY21.Chr3.1288",""
"9087","KY21:KY21.Chr3.1289","TYW5",""
"9088","KY21:KY21.Chr3.129","ATP5MF",""
"9089","KY21:KY21.Chr3.1290","SNX30",""
"9090","KY21:KY21.Chr3.1291","SEC24A / LTBR",""
"9091","KY21:KY21.Chr3.1292","COL4A5",""
"9092","KY21:KY21.Chr3.1293","ZNF407","Ci-ZF049"
"9093","KY21:KY21.Chr3.1294","MS4A15",""
"9094","KY21:KY21.Chr3.1295","MS4A8",""
"9095","KY21:KY21.Chr3.1296","MS4A8",""
"9096","KY21:KY21.Chr3.1297","MS4A12",""
"9097","KY21:KY21.Chr3.1298","PEDS1",""
"9098","KY21:KY21.Chr3.1299","UBE2W / THAP9",""
"9099","KY21:KY21.Chr3.13","MYH7","Myh.i"
"9100","KY21:KY21.Chr3.130","PKHD1",""
"9101","KY21:KY21.Chr3.1300","GAS2L3",""
"9102","KY21:KY21.Chr3.1301","BTNL8",""
"9103","KY21:KY21.Chr3.1302","DYNC1H1",""
"9104","KY21:KY21.Chr3.1303","SLC16A12",""
"9105","KY21:KY21.Chr3.1304","PGK2",""
"9106","KY21:KY21.Chr3.1305","OPRK1",""
"9107","KY21:KY21.Chr3.1306","LRRC8E",""
"9108","KY21:KY21.Chr3.1307","KLHL13",""
"9109","KY21:KY21.Chr3.1308","KLHL9",""
"9110","KY21:KY21.Chr3.1309","C7orf26",""
"9111","KY21:KY21.Chr3.131","IL18R1",""
"9112","KY21:KY21.Chr3.1310","ABHD2",""
"9113","KY21:KY21.Chr3.1311","TRIM71",""
"9114","KY21:KY21.Chr3.1312","AIFM2",""
"9115","KY21:KY21.Chr3.1313","AIFM2",""
"9116","KY21:KY21.Chr3.1314","WDR59",""
"9117","KY21:KY21.Chr3.1315","RABGGTA",""
"9118","KY21:KY21.Chr3.1316","CEP112",""
"9119","KY21:KY21.Chr3.1317","MIER3",""
"9120","KY21:KY21.Chr3.1318","C1R",""
"9121","KY21:KY21.Chr3.1319","SNX13",""
"9122","KY21:KY21.Chr3.132","GLS",""
"9123","KY21:KY21.Chr3.1320","POLR3A",""
"9124","KY21:KY21.Chr3.1321","AQP5",""
"9125","KY21:KY21.Chr3.1322","AJAP1",""
"9126","KY21:KY21.Chr3.1323","FZD8",""
"9127","KY21:KY21.Chr3.1324","VPS26B",""
"9128","KY21:KY21.Chr3.1325","BHMT",""
"9129","KY21:KY21.Chr3.1326","GPATCH1",""
"9130","KY21:KY21.Chr3.1327","SCCPDH",""
"9131","KY21:KY21.Chr3.1328","ASTE1",""
"9132","KY21:KY21.Chr3.1329","SEC16A",""
"9133","KY21:KY21.Chr3.133","RAP1GAP",""
"9134","KY21:KY21.Chr3.1330","TUBA3D",""
"9135","KY21:KY21.Chr3.1331","SACS",""
"9136","KY21:KY21.Chr3.1332","ZW10",""
"9137","KY21:KY21.Chr3.1333","CLEC4E",""
"9138","KY21:KY21.Chr3.1334","HYAL4",""
"9139","KY21:KY21.Chr3.1335","KIN","Ci-ZF052"
"9140","KY21:KY21.Chr3.1336","NALCN",""
"9141","KY21:KY21.Chr3.1337","GPR50",""
"9142","KY21:KY21.Chr3.1338","ADORA2A",""
"9143","KY21:KY21.Chr3.1339","ADORA2A",""
"9144","KY21:KY21.Chr3.134","C2orf16",""
"9145","KY21:KY21.Chr3.1340","SSTR2",""
"9146","KY21:KY21.Chr3.1341","NPFFR1",""
"9147","KY21:KY21.Chr3.1342","OR2AT4",""
"9148","KY21:KY21.Chr3.1343","GTF3C4",""
"9149","KY21:KY21.Chr3.1344","ZBTB41",""
"9150","KY21:KY21.Chr3.1345","CERS5","Cers-r.e"
"9151","KY21:KY21.Chr3.1346","CERS5","Cers-r.f"
"9152","KY21:KY21.Chr3.1347","IRF4 / IRF2","IRF-like-8"
"9153","KY21:KY21.Chr3.1348","CERS2","Cers-r.g"
"9154","KY21:KY21.Chr3.1349","IRF8","IRF-like-7"
"9155","KY21:KY21.Chr3.135","SLC3A1",""
"9156","KY21:KY21.Chr3.1350","CLCN6",""
"9157","KY21:KY21.Chr3.1351","DGCR2",""
"9158","KY21:KY21.Chr3.1352","FA2H",""
"9159","KY21:KY21.Chr3.1353","BTBD17",""
"9160","KY21:KY21.Chr3.1354","DUSP10",""
"9161","KY21:KY21.Chr3.1355","SLC38A7",""
"9162","KY21:KY21.Chr3.1356","SNAI2","Snai"
"9163","KY21:KY21.Chr3.1357","ACTB",""
"9164","KY21:KY21.Chr3.1358","SULT1C2",""
"9165","KY21:KY21.Chr3.1359","DANCR",""
"9166","KY21:KY21.Chr3.136","NYNRIN",""
"9167","KY21:KY21.Chr3.1360","SULT1C2",""
"9168","KY21:KY21.Chr3.1361","SULT1A1",""
"9169","KY21:KY21.Chr3.1362","HAUS4",""
"9170","KY21:KY21.Chr3.1363","ADAMTS7",""
"9171","KY21:KY21.Chr3.1364","THBS1",""
"9172","KY21:KY21.Chr3.1365","ADGRB3",""
"9173","KY21:KY21.Chr3.1366","HERC5",""
"9174","KY21:KY21.Chr3.1367","ACER2",""
"9175","KY21:KY21.Chr3.1368","EHMT1",""
"9176","KY21:KY21.Chr3.1369","KY21:KY21.Chr3.1369",""
"9177","KY21:KY21.Chr3.137","ZNF567",""
"9178","KY21:KY21.Chr3.1370","C22orf39",""
"9179","KY21:KY21.Chr3.1371","ABCC5",""
"9180","KY21:KY21.Chr3.1372","PYM1",""
"9181","KY21:KY21.Chr3.1373","CYP1B1",""
"9182","KY21:KY21.Chr3.1374","LRRTM1",""
"9183","KY21:KY21.Chr3.1375","IRX2","Irx.d"
"9184","KY21:KY21.Chr3.1376","PID1",""
"9185","KY21:KY21.Chr3.1377","LTN1",""
"9186","KY21:KY21.Chr3.1378","ERN1",""
"9187","KY21:KY21.Chr3.1379","TPR",""
"9188","KY21:KY21.Chr3.138","ABHD13",""
"9189","KY21:KY21.Chr3.1380","IRX6","Irx.c"
"9190","KY21:KY21.Chr3.1381","SIRT7","Ci-ZF051"
"9191","KY21:KY21.Chr3.1382","ANKRD60",""
"9192","KY21:KY21.Chr3.1383","HSPA9",""
"9193","KY21:KY21.Chr3.1384","B3GALT1",""
"9194","KY21:KY21.Chr3.1385","B3GALT1",""
"9195","KY21:KY21.Chr3.1386","SIAE",""
"9196","KY21:KY21.Chr3.1387","SIAE",""
"9197","KY21:KY21.Chr3.1388","SIAE",""
"9198","KY21:KY21.Chr3.1389","PROM1",""
"9199","KY21:KY21.Chr3.139","MADD",""
"9200","KY21:KY21.Chr3.1390","GLG1",""
"9201","KY21:KY21.Chr3.1391","PSKH1",""
"9202","KY21:KY21.Chr3.1392","EIF4G2",""
"9203","KY21:KY21.Chr3.1393","CLPP",""
"9204","KY21:KY21.Chr3.1394","SELP",""
"9205","KY21:KY21.Chr3.1395","SLC16A3",""
"9206","KY21:KY21.Chr3.1396","MDM1",""
"9207","KY21:KY21.Chr3.1397","TAF13",""
"9208","KY21:KY21.Chr3.1398","DNAAF5",""
"9209","KY21:KY21.Chr3.1399","SELP",""
"9210","KY21:KY21.Chr3.14","GFOD1",""
"9211","KY21:KY21.Chr3.140","PIRT",""
"9212","KY21:KY21.Chr3.1400","CEP152",""
"9213","KY21:KY21.Chr3.1401","HELZ2",""
"9214","KY21:KY21.Chr3.1402","DENND11",""
"9215","KY21:KY21.Chr3.1403","NGB",""
"9216","KY21:KY21.Chr3.1404","PTGS2",""
"9217","KY21:KY21.Chr3.1405","LTBP1",""
"9218","KY21:KY21.Chr3.1406","TXN2",""
"9219","KY21:KY21.Chr3.1407","PELI1",""
"9220","KY21:KY21.Chr3.1408","PALS1",""
"9221","KY21:KY21.Chr3.1409","HSP90AA1",""
"9222","KY21:KY21.Chr3.141","ZNF687","Ci-ZF108"
"9223","KY21:KY21.Chr3.1410","PLA2G1B",""
"9224","KY21:KY21.Chr3.1411","PLA2G1B",""
"9225","KY21:KY21.Chr3.1412","PHLDB2",""
"9226","KY21:KY21.Chr3.1413","USF2","USF"
"9227","KY21:KY21.Chr3.1414","ENTPD5",""
"9228","KY21:KY21.Chr3.1415","ABCG4",""
"9229","KY21:KY21.Chr3.1416","ABCG4",""
"9230","KY21:KY21.Chr3.1417","TNF",""
"9231","KY21:KY21.Chr3.1418","TNF / KIF13A",""
"9232","KY21:KY21.Chr3.1419","LTA",""
"9233","KY21:KY21.Chr3.142","DERL1",""
"9234","KY21:KY21.Chr3.1420","WDR87",""
"9235","KY21:KY21.Chr3.1421","ZZEF1",""
"9236","KY21:KY21.Chr3.1422","GNPNAT1",""
"9237","KY21:KY21.Chr3.1423","SNED1",""
"9238","KY21:KY21.Chr3.1424","KDM2A",""
"9239","KY21:KY21.Chr3.1425","IREB2",""
"9240","KY21:KY21.Chr3.1426","PTPRS",""
"9241","KY21:KY21.Chr3.1427","PCDHGB1",""
"9242","KY21:KY21.Chr3.1428","TECPR2",""
"9243","KY21:KY21.Chr3.1429","PRR12",""
"9244","KY21:KY21.Chr3.143","CEP170",""
"9245","KY21:KY21.Chr3.1430","ZNF366",""
"9246","KY21:KY21.Chr3.1431","RRN3",""
"9247","KY21:KY21.Chr3.1432","CTSL",""
"9248","KY21:KY21.Chr3.1433","OXNAD1",""
"9249","KY21:KY21.Chr3.1434","TRIM63",""
"9250","KY21:KY21.Chr3.1435","CEP95",""
"9251","KY21:KY21.Chr3.1436","IWS1",""
